index,id,stock
0,1,MMM
1,2,AOS
2,3,ABT
3,4,ABBV
4,5,ABMD
5,6,ACN
6,7,ATVI
7,8,ADM
8,9,ADBE
9,10,ADP
10,11,AAP
11,12,AES
12,13,AFL
13,14,A
14,15,APD
15,16,AKAM
16,17,ALK
17,18,ALB
18,19,ARE
19,20,ALGN
20,21,ALLE
21,22,LNT
22,23,ALL
23,24,GOOGL
24,25,GOOG
25,26,MO
26,27,AMZN
27,28,AMCR
28,29,AMD
29,30,AEE
30,31,AAL
31,32,AEP
32,33,AXP
33,34,AIG
34,35,AMT
35,36,AWK
36,37,AMP
37,38,ABC
38,39,AME
39,40,AMGN
40,41,APH
41,42,ADI
42,43,ANSS
43,44,AON
44,45,APA
45,46,AAPL
46,47,AMAT
47,48,APTV
48,49,ACGL
49,50,ANET
50,51,AJG
51,52,AIZ
52,53,T
53,54,ATO
54,55,ADSK
55,56,AZO
56,57,AVB
57,58,AVY
58,59,BKR
59,60,BALL
60,61,BAC
61,62,BBWI
62,63,BAX
63,64,BDX
64,65,WRB
66,66,BBY
67,67,BIO
68,68,TECH
69,69,BIIB
70,70,BLK
71,71,BK
72,72,BA
73,73,BKNG
74,74,BWA
75,75,BXP
76,76,BSX
77,77,BMY
78,78,AVGO
79,79,BR
80,80,BRO
82,81,CHRW
83,82,CDNS
84,83,CZR
85,84,CPT
86,85,CPB
87,86,COF
88,87,CAH
89,88,KMX
90,89,CCL
91,90,CARR
92,91,CTLT
93,92,CAT
94,93,CBOE
95,94,CBRE
96,95,CDW
97,96,CE
98,97,CNC
99,98,CNP
100,99,CDAY
101,100,CF
102,101,CRL
103,102,SCHW
104,103,CHTR
105,104,CVX
106,105,CMG
107,106,CB
108,107,CHD
109,108,CI
110,109,CINF
111,110,CTAS
112,111,CSCO
113,112,C
114,113,CFG
115,114,CLX
116,115,CME
117,116,CMS
118,117,KO
119,118,CTSH
120,119,CL
121,120,CMCSA
122,121,CMA
123,122,CAG
124,123,COP
125,124,ED
126,125,STZ
127,126,CEG
128,127,COO
129,128,CPRT
130,129,GLW
131,130,CTVA
132,131,CSGP
133,132,COST
